code,atlas,parc.code
1,LHD.cpatch,1
2,LHD.cpatch,1
3,LHD.cpatch,1
4,LHD.cpatch,1
5,LHD.cpatch,1
6,LHD.cpatch,1
7,LHD.cpatch,1
8,LHD.cpatch,2
9,LHD.cpatch,2
10,LHD.cpatch,2
11,LHD.cpatch,2
12,LHD.cpatch,2
13,LHD.cpatch,2
14,LHD.cpatch,2
15,LHD.cpatch,3
16,LHD.cpatch,3
17,LHD.cpatch,3
18,LHD.cpatch,3
19,LHD.cpatch,3
20,LHD.cpatch,3
21,LHD.cpatch,3
22,LHD.cpatch,4
23,LHD.cpatch,4
24,LHD.cpatch,4
25,LHD.cpatch,4
26,LHD.cpatch,4
27,LHD.cpatch,4
28,LHD.cpatch,4
29,LHD.cpatch,5
30,LHD.cpatch,5
31,LHD.cpatch,5
32,LHD.cpatch,5
33,LHD.cpatch,5
34,LHD.cpatch,5
35,LHD.cpatch,5
36,LHD.cpatch,6
37,LHD.cpatch,6
38,LHD.cpatch,6
39,LHD.cpatch,6
40,LHD.cpatch,6
41,LHD.cpatch,6
42,LHD.cpatch,6
43,LHD.cpatch,7
44,LHD.cpatch,7
45,LHD.cpatch,7
46,LHD.cpatch,7
47,LHD.cpatch,7
48,LHD.cpatch,7
49,LHD.cpatch,7
