index,Label_NoSide,Side,Label
1,M1,L,M1_L
2,SupFront,L,SupFront_L
3,MidFront,L,MidFront_L
4,InfFront,L,InfFront_L
5,SMA.SFM,L,SMA.SFM_L
6,Insula,L,Insula_L
7,CG,L,CG_L
8,MTL,L,MTL_L
9,S1,L,S1_L
10,SPL,L,SPL_L
11,IPL,L,IPL_L
12,Precuneus,L,Precuneus_L
13,PCL,L,PCL_L
14,Caudate,L,Caudate_L
15,Putamen,L,Putamen_L
16,Pallidum,L,Pallidum_L
17,Thalamus,L,Thalamus_L
18,DL.Temp,L,DL.Temp_L
19,VL.Temp,L,VL.Temp_L
20,Brainstem,L,Brainstem_L
21,ALIC,L,ALIC_L
22,PLIC,L,PLIC_L
23,ACR,L,ACR_L
24,SCR,L,SCR_L
25,PCR,L,PCR_L
26,SS,L,SS_L
27,EC,L,EC_L
28,SLF,L,SLF_L
29,PostWM,L,SFO_L
30,CST,L,CST_L
31,CRP.RST,L,CRP.RST_L
999,RoB,L,RoB_L
